379496-P250-S8-internal volume-barrier38.61mm-mandrel43.69mm.SLDPRT
Height (mm), Volume (uL)
0,3.16695698078676E-05
0.25,8.13957257083206E-02
0.5,0.167318492601184
0.75,0.257890816157397
1,0.353235211855765
1.25,0.453474195175092
1.5,0.558730281594186
1.75,0.669125986591851
2,0.784783825646893
2.25,0.905826314238117
2.5,1.03237596784433
2.75,1.16455530194434
3,1.30248683201694
3.25,1.44629307354095
3.5,1.59609654199518
3.75,1.75201975285841
4,1.91418522160947
4.25,2.08271546372716
4.5,2.25773299469028
4.75,2.43936032997764
5,2.62771998506804
5.25,2.82293447544029
5.5,3.0251263165732
5.75,3.23441802394557
6,3.45093211303621
6.25,3.67479109932392
6.5,3.90611749828751
6.75,4.14503382540578
7,4.39166259615754
7.25,4.64612632602159
7.5,4.90854753047675
7.75,5.17904872500181
8,5.45775242507558
8.25,5.74478114617687
8.5,6.04025740378449
8.75,6.34430371337723
9,6.65704259043391
9.25,6.97859655043332
9.5,7.30908810885428
9.75,7.6486397811756
10,7.99737408287607
10.25,8.3554135294345
10.5,8.7228806363297
10.75,9.09989791904046
11,9.48658789304561
11.25,9.88307307382395
11.5,10.2894759768543
11.75,10.7059191176154
12,11.1325250115861
12.25,11.5694161742452
12.5,12.0167151210716
12.75,12.474544367544
13,12.9430264291411
13.25,13.422283821342
13.5,13.9124390596252
13.75,14.4136146594697
14,14.9259331363542
14.25,15.4495170057576
14.5,15.9844887831587
14.75,16.5309709840362
15,17.0890861238689
15.25,17.6589567181358
15.5,18.2407052823155
15.75,18.834454331887
16,19.4403263823289
16.25,20.0584439491201
16.5,20.6889295477394
16.75,21.3319056936656
17,21.9874949023775
17.25,22.655819689354
17.5,23.3370025700738
17.75,24.0311660600157
18,24.7384326746585
18.25,25.4589249294811
18.5,26.1927653399622
18.75,26.9400764215807
19,27.7009806898153
19.25,28.475600660145
19.5,29.2640588480483
19.75,30.0664777690043
20,30.8829799384916
20.25,31.7136878719891
20.5,32.5587240849756
20.75,33.4182110929299
21,34.2922714113309
21.25,35.1810275556572
21.5,36.0846020413877
21.75,37.0031173840013
22,37.9366960989766
22.25,38.8854607017927
22.5,39.8495337079281
22.75,40.8290376328618
23,41.8240949920726
23.25,42.8348283010392
23.5,43.8693561331527
23.75,44.9717358256678
24,46.1508475992321
24.25,47.4092731132576
24.5,48.7495940271566
24.75,50.1743920003414
25,51.686248692224
25.25,53.2877457622167
25.5,54.9814648697316
25.75,56.769987674181
26,58.6558958349771
26.25,60.6417710115319
26.5,62.7301948632578
26.75,64.9237490495669
27,67.2250152298714
27.25,69.6365750635836
27.5,72.1610102101155
27.75,74.8009023288793
28,77.5588330792874
28.25,80.4071957975815
28.5,83.2688437982191
28.75,86.1397762784965
29,89.0200082755575
29.25,91.909554826546
29.5,94.8084309686059
29.75,97.7166517388811
30,100.634232174515
30.25,103.561187312653
30.5,106.497532190437
30.75,109.443281845012
31,112.398451313522
31.25,115.363055633111
31.5,118.337109840922
31.75,121.3206289741
32,124.313628069788
32.25,127.31612216513
32.5,130.32812629727
32.75,133.349655503352
33,136.38072482052
33.25,139.421349285917
33.5,142.471543936688
33.75,145.531323809977
34,148.600703942927
34.25,151.679699372683
34.5,154.768325136388
34.75,157.866596271186
35,160.97452781422
35.25,164.092134802636
35.5,167.219432273576
35.75,170.356435264185
36,173.503158811607
36.25,176.659617952985
36.5,179.825827725463
36.75,183.001803166186
37,186.187559312296
37.25,189.383111200939
37.5,192.588473869258
37.75,195.803662354396
38,199.028691693498
38.25,202.263576923707
38.5,205.508333082168
38.75,208.762975206024
39,212.02751833242
39.25,215.301977498498
39.5,218.586367741404
39.75,221.88070409828
40,225.185001606271
40.25,228.499275302521
40.5,231.823540224174
40.75,235.157811408373
41,238.502103892262
41.25,241.856432712985
41.5,245.220812907687
41.75,248.59525951351
42,251.9797875676
42.25,255.374412107099
42.5,258.76215352441
42.75,261.828017539878
43,264.834933538203
43.25,268.186704333389
43.5,271.581351819773
43.75,274.975999306157
44,278.370646792541
44.25,281.765294278925
44.5,285.159941765309
44.75,288.554589251693
45,291.949236738077
45.25,295.343884224461
45.5,298.738531710845
45.75,302.133179197229
46,305.527826683613
46.25,308.922474169997
46.5,312.317121656381
46.75,315.767264870767
47,319.540042560074
47.25,323.481841649768
47.5,327.423640739463
47.75,331.365439829157
48,335.307238918851
48.25,339.249038008546
48.5,343.19083709824
48.75,347.132636187935
49,351.074435277629
49.25,355.016234367324
49.5,358.958033457018
49.75,362.899832546712
50,366.841631636407
50.25,370.783430726101
50.5,374.743348393904
50.75,378.992512244842
51,383.635120435946
